supplier_id,contract_text,clause_risk_score
S_00001,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous.,47.47
S_00002,Penalty clause included for delayed delivery. Payment terms: net 30 days.,20.41
S_00003,Penalty clause included for delayed delivery. Payment terms: net 30 days. Supplier notified raw material shortages causing delays.,36.31
S_00004,Payment terms: net 30 days. No clear penalty clause; termination ambiguous.,58.38
S_00005,Penalty clause included for delayed delivery. Payment terms: net 30 days. Long-term partnership clause with annual reviews.,22.65
S_00006,Penalty clause included for delayed delivery. Payment terms: net 30 days. Supplier notified raw material shortages causing delays.,33.11
S_00007,Penalty clause included for delayed delivery. Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Long-term partnership clause with annual reviews.,45.54
S_00008,Penalty clause included for delayed delivery. Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Long-term partnership clause with annual reviews.,44.7
S_00009,Payment terms: net 30 days. Long-term partnership clause with annual reviews.,33.16
S_00010,Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,69.51
S_00011,Penalty clause included for delayed delivery. Payment terms: net 30 days. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,35.59
S_00012,Penalty clause included for delayed delivery. Payment terms: net 30 days. No clear penalty clause; termination ambiguous.,47.27
S_00013,Penalty clause included for delayed delivery. Payment terms: net 30 days.,15.36
S_00014,Payment terms: net 30 days. No clear penalty clause; termination ambiguous.,54.06
S_00015,Payment terms: net 30 days. Supplier notified raw material shortages causing delays.,46.81
S_00016,Payment terms: net 30 days. Supplier notified raw material shortages causing delays.,45.58
S_00017,Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Long-term partnership clause with annual reviews.,51.22
S_00018,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous.,42.21
S_00019,Payment terms: net 30 days. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,43.63
S_00020,Penalty clause included for delayed delivery. Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,58.25
S_00021,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,62.26
S_00022,No clear penalty clause; termination ambiguous. Long-term partnership clause with annual reviews.,58.59
S_00023,No clear penalty clause; termination ambiguous.,55.05
S_00024,Penalty clause included for delayed delivery. Payment terms: net 30 days. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,39.16
S_00025,Payment terms: net 30 days. No clear penalty clause; termination ambiguous.,52.86
S_00026,Long-term partnership clause with annual reviews.,29.74
S_00027,Penalty clause included for delayed delivery.,15.4
S_00028,No clear penalty clause; termination ambiguous.,59.9
S_00029,Penalty clause included for delayed delivery. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,36.77
S_00030,Penalty clause included for delayed delivery. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,34.17
S_00031,Penalty clause included for delayed delivery. Payment terms: net 30 days.,16.04
S_00032,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous.,48.59
S_00033,Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,47.34
S_00034,Penalty clause included for delayed delivery.,22.23
S_00035,Payment terms: net 30 days. No clear penalty clause; termination ambiguous.,56.58
S_00036,Penalty clause included for delayed delivery. Payment terms: net 30 days.,21.6
S_00037,Payment terms: net 30 days. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,44.48
S_00038,Supplier notified raw material shortages causing delays.,47.6
S_00039,Standard contract with net 30 payment terms.,25.55
S_00040,Penalty clause included for delayed delivery. Payment terms: net 30 days. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,32.41
S_00041,Penalty clause included for delayed delivery. Payment terms: net 30 days. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,30.17
S_00042,Payment terms: net 30 days. Supplier notified raw material shortages causing delays.,43.12
S_00043,No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,70.86
S_00044,Payment terms: net 30 days. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,40.75
S_00045,Penalty clause included for delayed delivery. Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,62.54
S_00046,Penalty clause included for delayed delivery. Payment terms: net 30 days. Supplier notified raw material shortages causing delays.,37.66
S_00047,Payment terms: net 30 days. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,41.16
S_00048,No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,70.28
S_00049,No clear penalty clause; termination ambiguous. Long-term partnership clause with annual reviews.,57.43
S_00050,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous.,47.64
S_00051,No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,70.83
S_00052,Penalty clause included for delayed delivery. Long-term partnership clause with annual reviews.,23.04
S_00053,Penalty clause included for delayed delivery. Payment terms: net 30 days.,15.76
S_00054,Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Long-term partnership clause with annual reviews.,54.79
S_00055,No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,71.38
S_00056,Penalty clause included for delayed delivery.,20.18
S_00057,Long-term partnership clause with annual reviews.,32.02
S_00058,Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Long-term partnership clause with annual reviews.,53.27
S_00059,Standard contract with net 30 payment terms.,27.47
S_00060,No clear penalty clause; termination ambiguous.,51.82
S_00061,Payment terms: net 30 days. Supplier notified raw material shortages causing delays.,47.48
S_00062,Penalty clause included for delayed delivery. Payment terms: net 30 days. Supplier notified raw material shortages causing delays.,34.93
S_00063,Penalty clause included for delayed delivery. Payment terms: net 30 days. Long-term partnership clause with annual reviews.,20.49
S_00064,Penalty clause included for delayed delivery. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,39.85
S_00065,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,63.7
S_00066,Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Long-term partnership clause with annual reviews.,57.74
S_00067,No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,74.87
S_00068,Penalty clause included for delayed delivery. Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,55.93
S_00069,Penalty clause included for delayed delivery. Payment terms: net 30 days. No clear penalty clause; termination ambiguous.,49.66
S_00070,Penalty clause included for delayed delivery. Long-term partnership clause with annual reviews.,24.68
S_00071,Supplier notified raw material shortages causing delays.,40.89
S_00072,No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,65.14
S_00073,Penalty clause included for delayed delivery. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,30.43
S_00074,No clear penalty clause; termination ambiguous.,52.29
S_00075,Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,66.03
S_00076,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,59.38
S_00077,Penalty clause included for delayed delivery. Supplier notified raw material shortages causing delays.,38.78
S_00078,Long-term partnership clause with annual reviews.,34.02
S_00079,Payment terms: net 30 days. Long-term partnership clause with annual reviews.,28.27
S_00080,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,62.4
S_00081,Penalty clause included for delayed delivery. Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Long-term partnership clause with annual reviews.,44.71
S_00082,Penalty clause included for delayed delivery. Payment terms: net 30 days. Long-term partnership clause with annual reviews.,18.19
S_00083,Penalty clause included for delayed delivery. Payment terms: net 30 days. Long-term partnership clause with annual reviews.,19.12
S_00084,Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,45.35
S_00085,Long-term partnership clause with annual reviews.,34.35
S_00086,Standard contract with net 30 payment terms.,30.23
S_00087,Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,70.74
S_00088,Supplier notified raw material shortages causing delays.,42.54
S_00089,Standard contract with net 30 payment terms.,34.05
S_00090,Penalty clause included for delayed delivery. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,36.56
S_00091,Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,66.94
S_00092,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,61.97
S_00093,Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,67.72
S_00094,Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,67.14
S_00095,Penalty clause included for delayed delivery. Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Long-term partnership clause with annual reviews.,49.39
S_00096,Penalty clause included for delayed delivery. Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,64.25
S_00097,Payment terms: net 30 days.,32.0
S_00098,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous.,40.46
S_00099,Penalty clause included for delayed delivery. Payment terms: net 30 days. No clear penalty clause; termination ambiguous.,47.82
S_00100,Penalty clause included for delayed delivery. Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,61.22
S_00101,Payment terms: net 30 days. No clear penalty clause; termination ambiguous.,56.32
S_00102,Payment terms: net 30 days. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,43.86
S_00103,Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,66.95
S_00104,No clear penalty clause; termination ambiguous.,56.05
S_00105,Payment terms: net 30 days.,32.6
S_00106,Penalty clause included for delayed delivery. Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Long-term partnership clause with annual reviews.,46.39
S_00107,Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Long-term partnership clause with annual reviews.,57.51
S_00108,Payment terms: net 30 days. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,45.42
S_00109,Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,68.39
S_00110,No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,72.13
S_00111,No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,73.61
S_00112,No clear penalty clause; termination ambiguous.,59.84
S_00113,Penalty clause included for delayed delivery. Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,60.75
S_00114,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,62.27
S_00115,Penalty clause included for delayed delivery. Payment terms: net 30 days. Supplier notified raw material shortages causing delays.,35.73
S_00116,Standard contract with net 30 payment terms.,27.97
S_00117,No clear penalty clause; termination ambiguous.,52.37
S_00118,Penalty clause included for delayed delivery. Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,61.5
S_00119,Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,74.73
S_00120,Penalty clause included for delayed delivery. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,38.02
S_00121,Supplier notified raw material shortages causing delays.,45.03
S_00122,Penalty clause included for delayed delivery.,15.42
S_00123,Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,69.79
S_00124,No clear penalty clause; termination ambiguous. Long-term partnership clause with annual reviews.,56.63
S_00125,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous. Long-term partnership clause with annual reviews.,44.25
S_00126,Penalty clause included for delayed delivery.,22.5
S_00127,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous. Long-term partnership clause with annual reviews.,45.72
S_00128,Penalty clause included for delayed delivery. Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Long-term partnership clause with annual reviews.,41.95
S_00129,Penalty clause included for delayed delivery. Payment terms: net 30 days. Supplier notified raw material shortages causing delays.,36.18
S_00130,Payment terms: net 30 days. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,49.95
S_00131,Penalty clause included for delayed delivery. Long-term partnership clause with annual reviews.,24.53
S_00132,Penalty clause included for delayed delivery. Payment terms: net 30 days. Long-term partnership clause with annual reviews.,16.4
S_00133,Penalty clause included for delayed delivery. Payment terms: net 30 days. No clear penalty clause; termination ambiguous.,44.87
S_00134,Penalty clause included for delayed delivery. Long-term partnership clause with annual reviews.,19.83
S_00135,Penalty clause included for delayed delivery. Supplier notified raw material shortages causing delays.,33.78
S_00136,Penalty clause included for delayed delivery.,15.5
S_00137,No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,68.11
S_00138,Penalty clause included for delayed delivery. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,32.17
S_00139,Penalty clause included for delayed delivery. Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,56.37
S_00140,No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,67.14
S_00141,Penalty clause included for delayed delivery. Payment terms: net 30 days.,15.34
S_00142,Penalty clause included for delayed delivery. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,30.93
S_00143,Standard contract with net 30 payment terms.,33.9
S_00144,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,59.87
S_00145,Penalty clause included for delayed delivery. Payment terms: net 30 days.,21.63
S_00146,Penalty clause included for delayed delivery. Payment terms: net 30 days. Long-term partnership clause with annual reviews.,16.59
S_00147,Penalty clause included for delayed delivery. Payment terms: net 30 days. No clear penalty clause; termination ambiguous.,43.62
S_00148,Penalty clause included for delayed delivery. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,31.19
S_00149,Payment terms: net 30 days. No clear penalty clause; termination ambiguous.,59.75
S_00150,Penalty clause included for delayed delivery. Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Long-term partnership clause with annual reviews.,46.16
S_00151,Penalty clause included for delayed delivery. Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,59.82
S_00152,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous. Long-term partnership clause with annual reviews.,47.51
S_00153,Penalty clause included for delayed delivery. Payment terms: net 30 days. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,37.4
S_00154,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,61.56
S_00155,Payment terms: net 30 days.,30.66
S_00156,Penalty clause included for delayed delivery. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,36.49
S_00157,Supplier notified raw material shortages causing delays.,43.42
S_00158,Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,73.2
S_00159,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous.,43.91
S_00160,Penalty clause included for delayed delivery. Payment terms: net 30 days. No clear penalty clause; termination ambiguous.,40.54
S_00161,No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,71.8
S_00162,Penalty clause included for delayed delivery. Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,62.51
S_00163,Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Long-term partnership clause with annual reviews.,54.04
S_00164,Payment terms: net 30 days. Long-term partnership clause with annual reviews.,31.46
S_00165,Penalty clause included for delayed delivery. Payment terms: net 30 days. Supplier notified raw material shortages causing delays.,39.98
S_00166,Standard contract with net 30 payment terms.,34.52
S_00167,Long-term partnership clause with annual reviews.,33.17
S_00168,Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,73.32
S_00169,Penalty clause included for delayed delivery. Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,59.29
S_00170,Penalty clause included for delayed delivery. Long-term partnership clause with annual reviews.,22.55
S_00171,Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,65.03
S_00172,Penalty clause included for delayed delivery. Payment terms: net 30 days. No clear penalty clause; termination ambiguous.,41.24
S_00173,Standard contract with net 30 payment terms.,29.34
S_00174,Penalty clause included for delayed delivery. Payment terms: net 30 days. Long-term partnership clause with annual reviews.,24.87
S_00175,Supplier notified raw material shortages causing delays.,45.81
S_00176,Payment terms: net 30 days. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,45.43
S_00177,Penalty clause included for delayed delivery. Long-term partnership clause with annual reviews.,15.08
S_00178,Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,46.67
S_00179,No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,73.98
S_00180,Payment terms: net 30 days. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,47.48
S_00181,Penalty clause included for delayed delivery. Payment terms: net 30 days. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,31.09
S_00182,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,56.84
S_00183,Penalty clause included for delayed delivery.,23.04
S_00184,Penalty clause included for delayed delivery.,17.69
S_00185,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,61.15
S_00186,Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,70.71
S_00187,Penalty clause included for delayed delivery. Payment terms: net 30 days. No clear penalty clause; termination ambiguous.,41.86
S_00188,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,59.67
S_00189,Payment terms: net 30 days. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,48.22
S_00190,Payment terms: net 30 days.,25.64
S_00191,Long-term partnership clause with annual reviews.,29.76
S_00192,No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,71.47
S_00193,Long-term partnership clause with annual reviews.,29.09
S_00194,Supplier notified raw material shortages causing delays.,40.91
S_00195,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,58.2
S_00196,No clear penalty clause; termination ambiguous.,50.82
S_00197,Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,70.87
S_00198,Payment terms: net 30 days.,31.98
S_00199,Payment terms: net 30 days. Supplier notified raw material shortages causing delays.,43.48
S_00200,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,64.82
S_00201,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,63.43
S_00202,Payment terms: net 30 days. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,43.57
S_00203,Penalty clause included for delayed delivery. Payment terms: net 30 days. No clear penalty clause; termination ambiguous.,44.82
S_00204,Long-term partnership clause with annual reviews.,27.16
S_00205,Payment terms: net 30 days. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,44.71
S_00206,Payment terms: net 30 days. No clear penalty clause; termination ambiguous.,52.99
S_00207,Penalty clause included for delayed delivery. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,30.12
S_00208,Long-term partnership clause with annual reviews.,26.21
S_00209,Payment terms: net 30 days. Supplier notified raw material shortages causing delays.,45.34
S_00210,Payment terms: net 30 days. Long-term partnership clause with annual reviews.,26.25
S_00211,Penalty clause included for delayed delivery. Supplier notified raw material shortages causing delays.,30.84
S_00212,Long-term partnership clause with annual reviews.,30.1
S_00213,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous.,43.19
S_00214,Payment terms: net 30 days. No clear penalty clause; termination ambiguous.,51.04
S_00215,Long-term partnership clause with annual reviews.,31.5
S_00216,No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,70.56
S_00217,Penalty clause included for delayed delivery. Long-term partnership clause with annual reviews.,18.21
S_00218,Penalty clause included for delayed delivery. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,36.2
S_00219,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous.,42.86
S_00220,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous.,42.37
S_00221,No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,71.74
S_00222,Payment terms: net 30 days. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,47.96
S_00223,Penalty clause included for delayed delivery. Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,61.07
S_00224,Penalty clause included for delayed delivery. Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,60.82
S_00225,Penalty clause included for delayed delivery. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,30.59
S_00226,Standard contract with net 30 payment terms.,27.9
S_00227,Payment terms: net 30 days. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,41.76
S_00228,Payment terms: net 30 days. No clear penalty clause; termination ambiguous.,52.25
S_00229,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous. Long-term partnership clause with annual reviews.,48.43
S_00230,Supplier notified raw material shortages causing delays.,49.84
S_00231,Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,71.67
S_00232,Penalty clause included for delayed delivery. Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Long-term partnership clause with annual reviews.,43.31
S_00233,Penalty clause included for delayed delivery.,20.49
S_00234,Payment terms: net 30 days. No clear penalty clause; termination ambiguous.,59.29
S_00235,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,55.74
S_00236,Penalty clause included for delayed delivery. Payment terms: net 30 days. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,33.95
S_00237,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous. Long-term partnership clause with annual reviews.,42.45
S_00238,No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,72.22
S_00239,Penalty clause included for delayed delivery. Payment terms: net 30 days.,24.4
S_00240,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,63.74
S_00241,Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Long-term partnership clause with annual reviews.,59.74
S_00242,Penalty clause included for delayed delivery. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,35.68
S_00243,Standard contract with net 30 payment terms.,34.49
S_00244,Penalty clause included for delayed delivery. Payment terms: net 30 days. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,33.8
S_00245,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous.,47.14
S_00246,Penalty clause included for delayed delivery. Payment terms: net 30 days.,18.37
S_00247,Supplier notified raw material shortages causing delays.,45.11
S_00248,Penalty clause included for delayed delivery. Payment terms: net 30 days.,21.04
S_00249,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,64.42
S_00250,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous. Long-term partnership clause with annual reviews.,47.4
S_00251,Payment terms: net 30 days. Long-term partnership clause with annual reviews.,27.37
S_00252,Payment terms: net 30 days. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,49.78
S_00253,Standard contract with net 30 payment terms.,31.63
S_00254,Penalty clause included for delayed delivery. Payment terms: net 30 days. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,36.38
S_00255,Long-term partnership clause with annual reviews.,34.51
S_00256,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous.,49.47
S_00257,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous.,46.14
S_00258,Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,71.77
S_00259,Penalty clause included for delayed delivery. Long-term partnership clause with annual reviews.,19.69
S_00260,Supplier notified raw material shortages causing delays.,48.62
S_00261,Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,71.82
S_00262,Payment terms: net 30 days. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,43.34
S_00263,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous. Long-term partnership clause with annual reviews.,46.86
